date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio
2023-05-01,0.0,0.0,3,477.0,159.0,0,3,0,63.0,0.0,3.0
2023-12-05,0.0,0.0,9,50005.83,5556.203333333334,0,7,2,75.0,0.0,2.3333333333333335
2023-12-14,-205.43473700000007,-18.675885181818188,11,113203.35,10291.213636363636,4,5,6,72.0,0.36363636363636365,0.7142857142857143
2023-12-15,-24.632033999999997,-12.316016999999999,2,10609.95,5304.975,0,2,0,70.0,0.0,2.0
2023-12-16,0.0,0.0,3,15348.77,5116.256666666667,0,3,0,67.0,0.0,3.0
2023-12-17,304.982785,21.78448464285714,14,116278.02,8305.572857142857,7,3,11,73.0,0.5,0.25
2023-12-18,0.0,0.0,2,31164.179999999997,15582.089999999998,0,2,0,65.0,0.0,2.0
2023-12-19,1000.5386120000001,66.70257413333334,15,91602.41,6106.827333333334,10,5,10,73.0,0.6666666666666666,0.45454545454545453
2023-12-20,162.732282,9.040682333333333,18,141636.79,7868.710555555556,8,10,8,74.0,0.4444444444444444,1.1111111111111112
2023-12-21,537.211402,10.963498000000001,49,125233.97,2555.795306122449,26,22,27,70.0,0.5306122448979592,0.7857142857142857
2023-12-22,141.832675,14.1832675,10,88874.28,8887.428,2,8,2,74.0,0.2,2.6666666666666665
2023-12-23,146.936704,11.302823384615383,13,78438.25,6033.711538461538,8,5,8,70.0,0.6153846153846154,0.5555555555555556
2023-12-24,1008.619956,25.862050153846155,39,402954.94,10332.177948717948,15,21,18,71.0,0.38461538461538464,1.105263157894737
2023-12-25,-245.081348,-81.69378266666666,3,59948.51,19982.836666666666,0,2,1,73.0,0.0,1.0
2023-12-27,-704.8892269999999,-25.174615249999995,28,171411.06,6121.823571428571,4,15,13,73.0,0.14285714285714285,1.0714285714285714
2023-12-28,-970.730876,-42.20569026086957,23,100117.25,4352.923913043478,0,10,13,73.0,0.0,0.7142857142857143
2023-12-29,508.92214299999995,10.178442859999999,50,569559.72,11391.1944,15,31,19,65.0,0.3,1.55
2023-12-30,354.998648,6.826897076923077,52,702550.21,13510.58096153846,23,20,32,68.0,0.4423076923076923,0.6060606060606061
2024-01-01,-129.53146,-7.196192222222223,18,264239.52999999997,14679.973888888888,1,10,8,65.0,0.05555555555555555,1.1111111111111112
2024-01-02,783.979116,46.11641858823529,17,121348.74,7138.1611764705885,8,9,8,71.0,0.47058823529411764,1.0
2024-01-03,866.015507,12.925604582089552,67,394499.36,5888.050149253731,28,32,35,70.0,0.417910447761194,0.8888888888888888
2024-01-04,-67.60364,-13.520728,5,99792.54000000001,19958.508,0,2,3,68.0,0.0,0.5
2024-01-05,164.141565,2.486993409090909,66,1703942.66,25817.31303030303,13,31,35,72.0,0.19696969696969696,0.8611111111111112
2024-01-06,135.58166400000002,6.16280290909091,22,298521.4,13569.154545454547,10,11,11,70.0,0.45454545454545453,0.9166666666666666
2024-01-07,-835.681235,-8.615270463917525,97,1048850.06,10812.887216494846,9,52,45,71.0,0.09278350515463918,1.1304347826086956
2024-01-08,-269.874439,-2.1083940546875,128,1522452.43,11894.159609375,32,40,88,71.0,0.25,0.449438202247191
2024-01-09,-826.349863,-11.804998042857143,70,870051.97,12429.313857142857,18,28,42,76.0,0.2571428571428571,0.6511627906976745
2024-01-10,-1517.091342,-7.860576901554404,193,2057479.48,10660.515440414507,41,92,101,73.0,0.21243523316062177,0.9019607843137255
2024-01-11,-164.08950099999998,-7.813785761904761,21,305314.1,14538.766666666666,5,13,8,76.0,0.23809523809523808,1.4444444444444444
2024-01-12,-1925.519024,-275.0741462857143,7,200082.27,28583.181428571428,0,5,2,71.0,0.0,1.6666666666666667
2024-01-15,152.85358,10.918112857142857,14,50636.1,3616.8642857142854,9,5,9,52.0,0.6428571428571429,0.5
2024-01-16,-2299.171458,-255.4634953333333,9,116427.33,12936.37,3,4,5,64.0,0.3333333333333333,0.6666666666666666
2024-01-17,813.2741110000001,15.344794547169812,53,800831.03,15110.019433962265,11,31,22,60.0,0.20754716981132076,1.3478260869565217
2024-01-18,68.93319,1.4985476086956522,46,424631.52999999997,9231.120217391304,3,18,28,63.0,0.06521739130434782,0.6206896551724138
2024-01-19,-385.419235,-8.029567395833334,48,428428.97,8925.603541666665,6,31,17,51.0,0.125,1.7222222222222223
2024-01-20,-146.57487000000003,-1.3827817924528305,106,1070090.51,10095.193490566038,15,60,46,52.0,0.14150943396226415,1.2765957446808511
2024-01-21,266.58114600000005,24.234649636363642,11,103129.74,9375.43090909091,3,3,8,56.0,0.2727272727272727,0.3333333333333333
2024-01-22,1375.640959,16.18401128235294,85,337878.99,3975.0469411764707,23,51,34,55.0,0.27058823529411763,1.457142857142857
2024-01-23,-369.2447299999998,-8.20543844444444,45,414518.93000000005,9211.531777777778,11,33,12,50.0,0.24444444444444444,2.5384615384615383
2024-01-24,-2808.353815,-41.29932080882353,68,965084.59,14192.42044117647,10,27,41,48.0,0.14705882352941177,0.6428571428571429
2024-01-25,-3093.6293849999997,-515.6048975,6,66566.13,11094.355000000001,0,0,6,52.0,0.0,0.0
2024-01-26,90.2,18.04,5,11773.21,2354.642,1,4,1,49.0,0.2,2.0
2024-01-28,-2478.06972,-225.27906545454545,11,18109.03,1646.2754545454545,0,0,11,54.0,0.0,0.0
2024-01-29,486.562542,6.5751694864864865,74,414208.18,5597.407837837838,45,21,53,55.0,0.6081081081081081,0.3888888888888889
2024-01-30,-173.65419100000003,-3.5439630816326537,49,401011.38,8183.905714285715,5,28,21,61.0,0.10204081632653061,1.2727272727272727
2024-01-31,-799.840817,-0.93113017112922,859,6305647.13,7340.683504074505,231,470,389,60.0,0.2689173457508731,1.205128205128205
2024-02-01,0.0,0.0,6,2008.18,334.69666666666666,0,6,0,63.0,0.0,6.0
2024-02-02,456.423473,10.867225547619048,42,474278.43,11292.343571428572,13,19,23,63.0,0.30952380952380953,0.7916666666666666
2024-02-03,223.30918699999998,3.9876640535714283,56,603820.0,10782.5,6,18,38,60.0,0.10714285714285714,0.46153846153846156
2024-02-04,47.62389499999999,1.360682714285714,35,203187.53,5805.358,9,19,16,60.0,0.2571428571428571,1.1176470588235294
2024-02-05,-33.45419400000003,-0.4646415833333337,72,770198.26,10697.198055555556,14,33,39,60.0,0.19444444444444445,0.825
2024-02-06,-215.615907,-0.19817638511029412,1088,8047153.41,7396.280707720588,179,518,570,64.0,0.1645220588235294,0.9071803852889667
2024-02-07,241.24212,16.082808,15,6758.73,450.582,2,7,8,62.0,0.13333333333333333,0.7777777777777778
2024-02-08,770.756024,77.07560240000001,10,26051.12,2605.112,4,2,8,66.0,0.4,0.2222222222222222
2024-02-11,983.443176,28.924799294117648,34,212311.82,6244.465294117647,7,23,11,71.0,0.20588235294117646,1.9166666666666667
2024-02-12,913.8817869999998,57.11761168749999,16,227247.69999999998,14202.981249999999,6,11,5,70.0,0.375,1.8333333333333333
2024-02-13,559.44389,39.960277857142856,14,1999.99,142.85642857142858,14,0,14,79.0,1.0,0.0
2024-02-14,3830.599833,34.509908405405405,111,320839.88,2890.4493693693694,83,34,77,74.0,0.7477477477477478,0.4358974358974359
2024-02-15,1840.797677,29.219010746031746,63,185188.04,2939.4926984126987,57,52,11,72.0,0.9047619047619048,4.333333333333333
2024-02-16,5491.768834,30.174554032967034,182,564896.51,3103.826978021978,146,115,67,72.0,0.8021978021978022,1.6911764705882353
2024-02-17,1929.6418,20.52810425531915,94,406118.07,4320.405,61,50,44,76.0,0.648936170212766,1.1111111111111112
2024-02-18,477.6248299999999,4.923967319587628,97,157048.17,1619.0532989690723,61,38,59,72.0,0.6288659793814433,0.6333333333333333
2024-02-19,4317.768563,42.750183792079206,101,286377.2,2835.417821782178,77,41,60,75.0,0.7623762376237624,0.6721311475409836
2024-02-20,3263.628824,83.68279035897436,39,119419.72,3062.0441025641026,31,13,26,72.0,0.7948717948717948,0.48148148148148145
2024-02-21,1858.7985700000002,84.49084409090909,22,108047.51999999999,4911.250909090909,15,7,15,78.0,0.6818181818181818,0.4375
2024-02-22,3894.1050699999996,44.25119397727272,88,373033.87,4239.02125,40,35,53,74.0,0.45454545454545453,0.6481481481481481
2024-02-23,1418.55293,9.91995055944056,143,111106.14,776.966013986014,137,131,12,76.0,0.958041958041958,10.076923076923077
2024-02-25,-30.7705,-6.1541,5,4480.13,896.0260000000001,0,2,3,74.0,0.0,0.5
2024-02-26,4416.8473,113.25249487179488,39,192187.14,4927.875384615385,34,27,12,72.0,0.8717948717948718,2.076923076923077
2024-02-27,888.511733,14.103360841269842,63,209362.3,3323.2111111111108,26,33,30,79.0,0.4126984126984127,1.064516129032258
2024-02-28,2503.747235,55.63882744444444,45,171107.13,3802.380666666667,39,31,14,82.0,0.8666666666666667,2.066666666666667
2024-02-29,9813.996992,84.60342234482759,116,395666.73,3410.9200862068965,100,60,56,80.0,0.8620689655172413,1.0526315789473684
2024-03-01,8244.241409,60.176944591240876,137,472974.7,3452.370072992701,128,37,100,80.0,0.9343065693430657,0.36633663366336633
2024-03-02,230.90060000000005,7.448406451612905,31,63197.56,2038.6309677419354,21,28,3,80.0,0.6774193548387096,7.0
2024-03-03,8361.086245,105.83653474683545,79,390745.68,4946.1478481012655,54,36,43,83.0,0.6835443037974683,0.8181818181818182
2024-03-04,27799.775742,92.66591914,300,1577996.87,5259.989566666667,266,161,139,82.0,0.8866666666666667,1.15
2024-03-05,19791.026041,109.95014467222222,180,841810.32,4676.724,163,55,125,90.0,0.9055555555555556,0.4365079365079365
2024-03-06,6814.825139,83.10762364634145,82,327218.02,3990.4636585365856,72,49,33,75.0,0.8780487804878049,1.4411764705882353
2024-03-08,4271.886236,63.7594960597015,67,183583.18,2740.047462686567,59,19,48,81.0,0.8805970149253731,0.3877551020408163
2024-03-09,9949.501624,85.03847541880343,117,658178.75,5625.459401709401,97,83,34,84.0,0.8290598290598291,2.3714285714285714
2024-03-10,2482.9272,59.117314285714286,42,219973.85,5237.472619047619,29,38,4,79.0,0.6904761904761905,7.6
2024-03-11,3588.179495,85.43284511904761,42,176519.44999999998,4202.844047619047,39,12,30,82.0,0.9285714285714286,0.3870967741935484
2024-03-12,3039.166,379.89575,8,103040.85,12880.10625,7,1,7,81.0,0.875,0.125
2024-03-13,0.0,0.0,7,6000.799999999999,857.2571428571428,0,7,0,81.0,0.0,7.0
2024-03-14,3465.865832,192.5481017777778,18,205933.18,11440.732222222221,16,2,16,88.0,0.8888888888888888,0.11764705882352941
2024-03-15,6236.513651,100.58892985483871,62,351894.41,5675.71629032258,41,26,36,83.0,0.6612903225806451,0.7027027027027027
2024-03-16,228.57984,28.57248,8,37223.66,4652.9575,1,5,3,81.0,0.125,1.25
2024-03-17,503.293955,21.882345869565217,23,99506.95,4326.389130434783,10,18,5,79.0,0.43478260869565216,3.0
2024-03-18,1456.9577,76.68198421052631,19,90458.08,4760.951578947369,6,13,6,77.0,0.3157894736842105,1.8571428571428572
2024-03-19,668.797973,27.86658220833333,24,219884.84,9161.868333333334,5,17,7,79.0,0.20833333333333334,2.125
2024-03-20,6423.134599,93.08890723188406,69,215705.85,3126.171739130435,60,29,40,74.0,0.8695652173913043,0.7073170731707317
2024-03-21,2335.5080749999997,83.41100267857142,28,117895.57,4210.556071428572,23,26,2,78.0,0.8214285714285714,8.666666666666666
2024-03-24,1297.018477,68.26413036842105,19,92592.20999999999,4873.274210526315,15,15,4,74.0,0.7894736842105263,3.0
2024-03-25,1302.916428,186.13091828571427,7,57116.32,8159.4742857142855,6,0,7,75.0,0.8571428571428571,0.0
2024-03-26,3215.906593,27.253445703389833,118,198565.19,1682.7558474576272,110,8,110,81.0,0.9322033898305084,0.07207207207207207
2024-03-27,150.41114,3.9581878947368416,38,99864.79,2628.020789473684,12,19,19,83.0,0.3157894736842105,0.95
2024-03-28,227.85100799999998,17.527000615384615,13,35323.72,2717.209230769231,9,12,1,80.0,0.6923076923076923,6.0
2024-03-29,883.097404,58.873160266666666,15,86914.37,5794.291333333333,6,9,6,79.0,0.4,1.2857142857142858
2024-03-30,1100.57514,24.45722533333333,45,101103.92,2246.753777777778,44,1,44,75.0,0.9777777777777777,0.022222222222222223
2024-03-31,912.786145,70.21431884615384,13,39912.96,3070.2276923076925,10,0,13,75.0,0.7692307692307693,0.0
2024-04-01,2507.963406,32.57095332467532,77,339470.47,4408.7074025974025,42,32,45,79.0,0.5454545454545454,0.6956521739130435
2024-04-02,883.760812,21.555141756097562,41,239664.50999999998,5845.475853658536,12,10,31,79.0,0.2926829268292683,0.3125
2024-04-03,126.7884,31.6971,4,16887.57,4221.8925,1,3,1,71.0,0.25,1.5
2024-04-04,0.0,0.0,32,95987.73,2999.6165625,0,0,32,70.0,0.0,0.0
2024-04-05,10706.484306,107.06484306,100,503791.8,5037.918,90,17,83,79.0,0.9,0.20238095238095238
2024-04-06,236.33513399999998,14.770945874999999,16,68223.67,4263.979375,4,0,16,75.0,0.25,0.0
2024-04-07,0.0,0.0,23,49988.14,2173.397391304348,0,0,23,78.0,0.0,0.0
2024-04-08,1218.4267,40.614223333333335,30,211940.64,7064.688,1,1,29,76.0,0.03333333333333333,0.03333333333333333
2024-04-09,0.0,0.0,3,57063.840000000004,19021.280000000002,0,0,3,80.0,0.0,0.0
2024-04-10,5207.443414,127.01081497560976,41,351735.97,8578.926097560974,36,40,1,78.0,0.8780487804878049,20.0
2024-04-11,389.743164,24.35894775,16,76400.96,4775.06,2,14,2,76.0,0.125,4.666666666666667
2024-04-12,-592.6458390000001,-4.594153790697676,129,442088.59,3427.0433333333335,71,43,86,79.0,0.5503875968992248,0.4942528735632184
2024-04-13,6621.451755,74.3983343258427,89,486411.25,5465.294943820225,61,46,43,72.0,0.6853932584269663,1.0454545454545454
2024-04-14,-36104.012520000004,-337.4206777570094,107,659162.17,6160.394112149533,33,46,61,72.0,0.308411214953271,0.7419354838709677
2024-04-15,3774.08872,92.05094439024391,41,291111.19,7100.272926829269,35,18,23,74.0,0.8536585365853658,0.75
2024-04-16,2467.702221,52.504302574468085,47,181907.17,3870.3653191489366,43,31,16,65.0,0.9148936170212766,1.8235294117647058
2024-04-17,2441.4683999999997,174.39059999999998,14,97562.99,6968.785000000001,13,13,1,67.0,0.9285714285714286,6.5
2024-04-19,1946.4454620000001,55.61272748571429,35,337257.92000000004,9635.940571428573,27,5,30,66.0,0.7714285714285715,0.16129032258064516
2024-04-20,0.0,0.0,22,60733.24,2760.601818181818,0,20,2,66.0,0.0,6.666666666666667
2024-04-22,0.0,0.0,9,47993.61,5332.623333333333,0,0,9,73.0,0.0,0.0
2024-04-23,1119.536196,16.962669636363636,66,233054.9,3531.1348484848486,35,37,29,71.0,0.5303030303030303,1.2333333333333334
2024-04-24,279.185907,13.95929535,20,141275.24,7063.762,6,13,7,72.0,0.3,1.625
2024-04-25,0.0,0.0,74,120241.01,1624.8785135135136,0,74,0,72.0,0.0,74.0
2024-04-26,0.0,0.0,3,4988.290000000001,1662.7633333333335,0,0,3,70.0,0.0,0.0
2024-04-27,4281.488139,158.57363477777778,27,154264.47,5713.498888888889,19,0,27,67.0,0.7037037037037037,0.0
2024-04-28,0.0,0.0,58,43985.6,758.3724137931034,0,0,58,65.0,0.0,0.0
2024-04-29,526.9338359999999,11.709640799999999,45,108699.01,2415.5335555555553,17,24,21,67.0,0.37777777777777777,1.0909090909090908
2024-04-30,0.0,0.0,24,125018.75,5209.114583333333,0,24,0,67.0,0.0,24.0
2024-05-01,0.0,0.0,14,87025.45,6216.103571428571,0,14,0,54.0,0.0,14.0
2024-05-03,5306.017045,147.3893623611111,36,282682.64999999997,7852.295833333333,17,3,33,48.0,0.4722222222222222,0.08823529411764706
2024-05-04,0.0,0.0,9,58998.75,6555.416666666667,0,0,9,67.0,0.0,0.0
2024-05-05,0.916,0.15266666666666667,6,24068.350000000002,4011.391666666667,1,1,5,69.0,0.16666666666666666,0.16666666666666666
2024-05-06,968.59038,107.62115333333333,9,206016.43,22890.714444444442,4,8,1,71.0,0.4444444444444444,4.0
2024-05-07,883.537693,49.08542738888889,18,108717.58,6039.865555555556,9,6,12,68.0,0.5,0.46153846153846156
2024-05-08,1.56576,0.12044307692307693,13,65973.57,5074.89,1,12,1,64.0,0.07692307692307693,6.0
2024-05-09,1147.595856,40.985566285714285,28,221966.12,7927.361428571428,11,9,19,55.0,0.39285714285714285,0.45
2024-05-10,2101.741695,95.53371340909092,22,156882.0,7131.0,6,16,6,66.0,0.2727272727272727,2.2857142857142856
2024-05-11,251.604742,27.956082444444444,9,63248.95,7027.661111111111,9,0,9,53.0,1.0,0.0
2024-05-12,0.0,0.0,23,55179.56,2399.111304347826,0,17,6,56.0,0.0,2.4285714285714284
2024-05-13,2136.853859,76.31620925,28,193118.9,6897.103571428571,10,5,23,57.0,0.35714285714285715,0.20833333333333334
2024-05-14,1150.5233050000002,50.02275239130436,23,145853.4,6341.452173913043,4,23,0,66.0,0.17391304347826086,23.0
2024-05-15,948.970582,26.360293944444447,36,234922.57,6525.626944444444,17,11,25,64.0,0.4722222222222222,0.4230769230769231
2024-05-16,214.5898,7.94777037037037,27,162620.96,6022.998518518518,5,14,13,70.0,0.18518518518518517,1.0
2024-05-18,3522.3946610000003,140.89578644000002,25,126303.14,5052.1256,16,7,18,73.0,0.64,0.3684210526315789
2024-05-19,0.0,0.0,8,29998.09,3749.76125,0,8,0,72.0,0.0,8.0
2024-05-20,-74.818442,-7.4818442,10,38124.75,3812.475,0,7,3,70.0,0.0,1.75
2024-05-21,7289.397571999999,58.31518057599999,125,1100948.59,8807.588720000002,14,29,96,76.0,0.112,0.29896907216494845
2024-05-22,0.0,0.0,6,44995.29,7499.215,0,0,6,76.0,0.0,0.0
2024-05-23,413.347329,1.2718379353846154,325,401850.6,1236.4633846153845,145,189,136,76.0,0.4461538461538462,1.3795620437956204
2024-05-24,821.949278,410.974639,2,50811.899999999994,25405.949999999997,2,0,2,74.0,1.0,0.0
2024-05-25,14.126038999999999,0.8828774374999999,16,29991.129999999997,1874.4456249999998,5,7,9,76.0,0.3125,0.7
2024-05-26,778.6839,48.66774375,16,53976.67,3373.541875,4,2,14,75.0,0.25,0.13333333333333333
